,names,encoding
0,aaditya,"[-0.1585563   0.14172696  0.11007229 -0.03877992 -0.00421742 -0.09647217
  0.01354471 -0.03789111  0.11508734 -0.05922012  0.27533734 -0.0400214
 -0.22019999 -0.14813852  0.06671574  0.11977176 -0.13135092 -0.14442763
 -0.06605704 -0.1226894   0.02290217  0.01697627  0.00281394  0.02303454
 -0.07079803 -0.38846534 -0.07550336 -0.12750861  0.04783018 -0.08189544
 -0.02364926  0.02939568 -0.21380357 -0.08719289 -0.02658426  0.11318993
 -0.00891763 -0.01424824  0.17635565  0.04841319 -0.08204875 -0.1021596
  0.05771703  0.29194358  0.11494256  0.06924026  0.02931907  0.07071533
  0.0090313  -0.21883285  0.08545927  0.12294237  0.19717459  0.06740413
  0.08729997 -0.18219715 -0.00140369  0.00397908 -0.21721935  0.06573167
  0.0549058  -0.06799867 -0.12578686 -0.02803245  0.3254925   0.11418072
 -0.12280082 -0.05381743  0.2063645  -0.06589071 -0.01244711  0.03969765
 -0.10747406 -0.13706824 -0.20823267  0.15037453  0.31162667  0.10398028
 -0.17141876 -0.00904717 -0.13016577 -0.0443948  -0.01366128 -0.0097722
 -0.10996936  0.08259013 -0.13305196  0.07989989  0.09334501  0.00248499
 -0.03003799  0.17958386 -0.0509074   0.04959462  0.01262711 -0.00278772
 -0.06274987 -0.00042808 -0.13404228 -0.01877891  0.13683842 -0.14126988
 -0.04900298  0.06483626 -0.16997673  0.05881046  0.02514395 -0.04686813
 -0.05331066  0.03342475 -0.15986493 -0.05949112  0.13577484 -0.22208256
  0.21634462  0.20348303 -0.02065311  0.15005638  0.08875902  0.04503423
  0.03880864 -0.1082473  -0.14879355 -0.10061134  0.05825152 -0.00290037
  0.03096642  0.07415327]"
1,aaditya,"[-0.13604413  0.14827475  0.10765044 -0.0471378   0.01192265 -0.10061213
 -0.00429373 -0.02633662  0.15061162 -0.0468634   0.24319762 -0.03663448
 -0.21093896 -0.14755049  0.0603716   0.12944692 -0.13118038 -0.14778844
 -0.07071145 -0.12973733  0.02422911  0.03871158  0.01032005  0.04204959
 -0.07430647 -0.3944521  -0.07914268 -0.15372086  0.01154466 -0.09975259
 -0.01819947  0.04628982 -0.22854207 -0.10763875 -0.02901091  0.11089844
  0.01258148 -0.02374551  0.17060159  0.0619067  -0.0914603  -0.09797445
  0.0573251   0.28546786  0.12787676  0.05213232  0.00354573  0.08572403
  0.01860995 -0.21783632  0.07039948  0.12436102  0.17882776  0.06434409
  0.09900955 -0.14617847  0.01170169 -0.00366837 -0.25051048  0.04204055
  0.04477629 -0.08598012 -0.14453939 -0.02447542  0.29730588  0.14175677
 -0.09641361 -0.07303311  0.19836813 -0.08271323 -0.02031491  0.04578445
 -0.10380916 -0.12176563 -0.22084349  0.13773011  0.30966941  0.09933728
 -0.17992443  0.00754219 -0.11768083 -0.05074256 -0.02048177 -0.01801563
 -0.10098342  0.09763057 -0.11887414  0.08848377  0.08420434  0.02024309
 -0.03716802  0.17689654 -0.07105102  0.04530075  0.02930672  0.00060386
 -0.05792572 -0.00379957 -0.15234143 -0.0190447   0.15164578 -0.11513582
 -0.06163609  0.06210015 -0.16333236  0.03613239  0.02180553 -0.07239666
 -0.0562448   0.04257062 -0.16688891 -0.06513715  0.15212162 -0.20472166
  0.20948143  0.18167835 -0.05660322  0.13512561  0.06658757  0.05339938
  0.01565967 -0.11710033 -0.15319569 -0.11311484  0.07791536  0.01435384
  0.03581482  0.05546142]"
2,aaditya,"[-1.41080752e-01  1.32446930e-01  9.45834517e-02 -4.06461358e-02
  6.09793188e-03 -9.56392884e-02 -5.22603001e-03 -2.86941007e-02
  1.60251498e-01 -4.70489301e-02  2.42458060e-01 -3.53089273e-02
 -2.21023828e-01 -1.52033255e-01  6.30692691e-02  1.33665428e-01
 -1.30594999e-01 -1.50251284e-01 -6.77607432e-02 -1.26310661e-01
  1.65765863e-02  3.57044265e-02  8.64385534e-03  4.65093628e-02
 -7.97210634e-02 -3.99418563e-01 -7.30294436e-02 -1.56568915e-01
 -1.65496022e-04 -1.08124949e-01 -2.68377103e-02  4.96926531e-02
 -2.25119382e-01 -1.13476031e-01 -2.20985897e-02  1.15112409e-01
  1.00092711e-02 -2.72450782e-02  1.68499529e-01  7.14515299e-02
 -1.01163514e-01 -1.15127824e-01  4.70154658e-02  2.80316979e-01
  1.34793580e-01  3.82402800e-02 -3.28650698e-03  8.20994973e-02
  1.71877537e-02 -2.30934113e-01  5.67343384e-02  1.27582118e-01
  1.71799809e-01  5.77497892e-02  1.02724284e-01 -1.34411216e-01
  1.13635566e-02  6.85684383e-04 -2.48327121e-01  3.77644338e-02
  4.63548824e-02 -1.01119079e-01 -1.45157054e-01 -2.25606579e-02
  2.95173436e-01  1.41538963e-01 -9.49230939e-02 -7.18019381e-02
  2.01221555e-01 -8.20745677e-02 -2.95629576e-02  4.46235240e-02
 -9.54349265e-02 -1.35761410e-01 -2.31713697e-01  1.30920872e-01
  3.14498186e-01  1.03996441e-01 -1.85328797e-01  1.23762954e-02
 -1.21682547e-01 -4.69567627e-02 -1.50833623e-02 -1.47413602e-02
 -9.05899554e-02  9.54750851e-02 -1.18211254e-01  7.85377771e-02
  8.38267356e-02  2.61444263e-02 -3.46110314e-02  1.76101774e-01
 -8.03047493e-02  4.71481569e-02  4.59160693e-02  8.80055130e-03
 -5.30667119e-02 -9.43000428e-03 -1.47353098e-01 -2.64957007e-02
  1.60463050e-01 -1.23137675e-01 -4.77908514e-02  6.42698035e-02
 -1.64054886e-01  3.21746618e-02  1.79870855e-02 -7.24497437e-02
 -3.99900042e-02  3.61571014e-02 -1.59275964e-01 -6.30236343e-02
  1.52554646e-01 -2.16983646e-01  2.11068705e-01  1.80166051e-01
 -6.00022040e-02  1.37154683e-01  5.81740253e-02  5.15349545e-02
  3.56490770e-03 -1.17844686e-01 -1.50046945e-01 -1.15107380e-01
  6.66511357e-02  1.79020315e-02  3.09948735e-02  4.90233228e-02]"
3,aaditya,"[-1.41462937e-01  1.25034407e-01  8.52615088e-02 -3.95574197e-02
  5.44915069e-03 -9.03912932e-02  3.17909196e-03 -3.88033837e-02
  1.51993781e-01 -5.29410802e-02  2.49424160e-01 -3.35987955e-02
 -2.27121219e-01 -1.55704796e-01  6.82150796e-02  1.24731496e-01
 -1.36719242e-01 -1.58185571e-01 -5.58441319e-02 -1.28657594e-01
  1.16977841e-02  2.15547998e-02  2.89102807e-03  4.72187437e-02
 -8.69690776e-02 -3.92548382e-01 -7.65197873e-02 -1.54740632e-01
  4.73226327e-03 -9.99512374e-02 -2.91289464e-02  5.48696630e-02
 -2.11457670e-01 -1.02127388e-01 -1.40630249e-02  1.30687952e-01
  5.15852217e-03 -2.39646714e-02  1.74021676e-01  5.90642504e-02
 -8.79870728e-02 -1.11155920e-01  5.20596094e-02  2.88795441e-01
  1.33919418e-01  4.25650999e-02  8.35675746e-05  7.99013525e-02
  2.54851840e-02 -2.17617691e-01  6.45035207e-02  1.30996808e-01
  1.83105856e-01  6.17042370e-02  1.09999731e-01 -1.44229218e-01
  5.91731910e-03  4.48757038e-03 -2.38254547e-01  4.18208800e-02
  3.62285823e-02 -9.96990129e-02 -1.32854253e-01 -3.54352593e-02
  3.00717205e-01  1.28721863e-01 -1.03501037e-01 -6.28284067e-02
  2.06825152e-01 -7.74042755e-02 -3.61203738e-02  3.93717065e-02
 -1.03113472e-01 -1.40656486e-01 -2.13728532e-01  1.34988740e-01
  3.13111216e-01  1.07318275e-01 -1.81814834e-01  2.17753947e-02
 -1.05124027e-01 -6.52796403e-02 -1.37553504e-02 -1.07702869e-03
 -8.40263665e-02  8.97670090e-02 -1.18088491e-01  8.12040418e-02
  8.67739543e-02  2.11514607e-02 -2.86459550e-02  1.69651449e-01
 -8.73782709e-02  5.16443439e-02  4.35112640e-02  2.12264340e-03
 -5.72948679e-02  9.22368281e-03 -1.42047927e-01 -2.65306700e-02
  1.57574371e-01 -1.33776307e-01 -4.30294462e-02  5.45552783e-02
 -1.59816697e-01  3.59230824e-02  2.10545454e-02 -5.98412678e-02
 -4.31448258e-02  2.86437385e-02 -1.56872019e-01 -5.04325405e-02
  1.53010622e-01 -2.37804472e-01  2.21326619e-01  1.77496508e-01
 -5.78743033e-02  1.43067896e-01  5.44093810e-02  4.93984148e-02
  1.81307904e-02 -1.18576653e-01 -1.57284975e-01 -1.12863980e-01
  6.30819052e-02  1.18085574e-02  3.53177935e-02  5.48141263e-02]"
4,aaditya,"[-0.13251528  0.09017976  0.08692596 -0.03473883  0.01105525 -0.10317477
 -0.00282366 -0.02410411  0.15458705 -0.06876113  0.2449794  -0.0380103
 -0.19783078 -0.15418626  0.06891868  0.1284003  -0.12420142 -0.14247613
 -0.04704317 -0.14075434  0.01102099  0.03728893  0.01300568  0.036538
 -0.08176994 -0.39884433 -0.09338506 -0.17296271  0.00809804 -0.09824885
 -0.03523762  0.05915527 -0.2098881  -0.10523281 -0.0186267   0.11913111
  0.00684578 -0.02243571  0.17446716  0.07582476 -0.08192647 -0.10953553
  0.0451422   0.29247135  0.12537019  0.03650729 -0.0068533   0.07801014
  0.03182441 -0.20979014  0.05889814  0.1125012   0.1918022   0.05905996
  0.10649955 -0.11862566  0.02108175  0.0005112  -0.25293112  0.04675037
  0.02486544 -0.09201125 -0.14659943 -0.02344868  0.2969963   0.1442931
 -0.08055449 -0.07177523  0.20264915 -0.08547659 -0.0252909   0.04399934
 -0.10669573 -0.14300783 -0.19709755  0.12668096  0.28908554  0.0945373
 -0.18378325  0.02549601 -0.09330826 -0.0676215  -0.00218656 -0.00044877
 -0.08318055  0.09876957 -0.10824679  0.0830963   0.08253451 -0.00450018
 -0.01647417  0.17055368 -0.09023482  0.05551835  0.049082   -0.00729711
 -0.06035632  0.01410485 -0.14234097 -0.03705564  0.17776451 -0.12931572
 -0.04095684  0.04661363 -0.16789891  0.03963649  0.00790918 -0.07744336
 -0.02926488  0.0184325  -0.14317214 -0.05988008  0.15554526 -0.20710388
  0.20700493  0.17623372 -0.07109562  0.14862165  0.03930296  0.05386703
 -0.00138412 -0.11381885 -0.1687001  -0.09021866  0.06611954  0.01755701
  0.01243068  0.03770392]"
5,aaditya,"[-0.12875967  0.09823884  0.08697873 -0.03398839  0.00646161 -0.10080612
  0.00183951 -0.02543588  0.15884386 -0.05639805  0.2447557  -0.03852805
 -0.20818405 -0.15221705  0.07411815  0.12647283 -0.1263774  -0.14498213
 -0.03823557 -0.12704462  0.01456052  0.03982829  0.01026867  0.04648571
 -0.08652523 -0.38591209 -0.08321203 -0.17543751  0.00628351 -0.10067388
 -0.04269435  0.06340066 -0.20561773 -0.10642587 -0.01714192  0.12683541
  0.00722572 -0.02549173  0.18047935  0.0844273  -0.08672533 -0.12049481
  0.03289333  0.29273364  0.12544338  0.02474468  0.00213835  0.08254327
  0.02881857 -0.2134642   0.04787695  0.12038631  0.19526757  0.05391281
  0.09688167 -0.1224928   0.01646486 -0.0004798  -0.25628826  0.05012851
  0.04365237 -0.10295247 -0.14467797 -0.02710875  0.29950598  0.1331349
 -0.08901255 -0.06963876  0.1990668  -0.08269547 -0.04116236  0.04832175
 -0.10796054 -0.14045814 -0.20673753  0.12455594  0.28987929  0.09344237
 -0.18860492  0.02079528 -0.10106041 -0.0604369  -0.00887269  0.00099505
 -0.07671554  0.10422619 -0.11941697  0.07573918  0.08294959 -0.00212292
 -0.01401705  0.16470817 -0.08804144  0.05669251  0.04786088 -0.00191939
 -0.05325589  0.00931295 -0.13556561 -0.02973635  0.16893083 -0.13697664
 -0.03806973  0.05319985 -0.16793145  0.03920367  0.00629633 -0.07985368
 -0.03528543  0.01388555 -0.14919168 -0.05638359  0.16073962 -0.21389769
  0.20055376  0.1741019  -0.06902183  0.13947847  0.03589677  0.05717834
 -0.00964549 -0.11177804 -0.16650979 -0.10081798  0.06254386  0.01728674
  0.01845055  0.03789081]"
6,aaditya,"[-1.38648733e-01  1.01216272e-01  9.13553536e-02 -3.52846161e-02
  5.30076819e-03 -9.84793603e-02 -8.02380964e-04 -2.59396993e-02
  1.49560660e-01 -5.90607524e-02  2.57212698e-01 -3.58454138e-02
 -2.09796831e-01 -1.57004103e-01  7.94338286e-02  1.24995172e-01
 -1.26032814e-01 -1.46780163e-01 -4.03701551e-02 -1.34402394e-01
  1.55996922e-02  3.52056287e-02  3.97216436e-03  4.87831086e-02
 -8.69372040e-02 -4.03250992e-01 -8.67594853e-02 -1.72868684e-01
  3.17930989e-03 -1.02743037e-01 -4.15460095e-02  5.52165620e-02
 -2.04316691e-01 -1.00330301e-01 -1.66692398e-02  1.23409130e-01
  8.66248552e-03 -2.83821598e-02  1.75215930e-01  7.65303373e-02
 -8.17841813e-02 -1.21444829e-01  3.56614590e-02  2.89308041e-01
  1.24875799e-01  2.83744801e-02  8.41344800e-03  8.10055956e-02
  3.49512324e-02 -2.14171231e-01  5.61159551e-02  1.27479598e-01
  1.95172176e-01  4.66469452e-02  1.02051303e-01 -1.20681971e-01
  8.50361399e-03  3.44481133e-03 -2.56136209e-01  5.39595298e-02
  3.65220271e-02 -1.01478063e-01 -1.50545657e-01 -3.43637206e-02
  2.93278635e-01  1.43519476e-01 -8.98618028e-02 -7.21961856e-02
  2.10158825e-01 -8.69485661e-02 -3.96541096e-02  3.52323987e-02
 -1.14447869e-01 -1.53171018e-01 -2.08622605e-01  1.31300732e-01
  2.91634828e-01  1.03145480e-01 -1.93057135e-01  2.47522071e-02
 -9.94341299e-02 -5.65869696e-02 -4.40859981e-03  4.26738756e-03
 -7.81070739e-02  9.87009108e-02 -1.19291596e-01  7.96474144e-02
  8.57386738e-02  2.96639651e-03 -1.47887124e-02  1.71149015e-01
 -9.04178992e-02  5.94650023e-02  5.39762825e-02 -4.98338509e-03
 -5.44573329e-02  4.61930549e-03 -1.36989832e-01 -2.56221499e-02
  1.60941333e-01 -1.36274114e-01 -4.02231067e-02  5.27206473e-02
 -1.64684132e-01  3.69812138e-02  4.85137012e-03 -7.43974671e-02
 -3.71758901e-02  1.69949997e-02 -1.50645390e-01 -6.62298426e-02
  1.56639308e-01 -2.10426047e-01  1.99523389e-01  1.78433672e-01
 -6.60673007e-02  1.48303673e-01  4.00402099e-02  5.85586950e-02
  3.89527529e-04 -1.17590167e-01 -1.69949144e-01 -9.70028117e-02
  6.05746470e-02  1.50946453e-02  9.03264061e-03  3.69927138e-02]"
7,aaditya,"[-1.34431854e-01  1.03015088e-01  9.22981128e-02 -3.94207500e-02
  1.32743213e-02 -1.04004264e-01  2.87367404e-03 -3.91421467e-02
  1.59856677e-01 -5.94927557e-02  2.45191127e-01 -4.59269807e-02
 -2.06768215e-01 -1.48664832e-01  6.35077804e-02  1.19893223e-01
 -1.17621131e-01 -1.47459358e-01 -4.41981032e-02 -1.33956477e-01
  5.10310102e-03  3.94577421e-02  2.78831949e-03  5.29202148e-02
 -8.74668807e-02 -3.85698855e-01 -9.12270993e-02 -1.67714298e-01
 -4.03579604e-03 -1.02585346e-01 -3.91491205e-02  6.28031045e-02
 -2.06676379e-01 -1.01724744e-01 -7.10141659e-03  1.31628290e-01
  7.45080039e-03 -1.42573873e-02  1.71710193e-01  7.59028271e-02
 -7.57971779e-02 -1.15413167e-01  4.22090068e-02  2.91242063e-01
  1.30692244e-01  3.04801427e-02 -4.49279323e-03  7.01400712e-02
  2.74883546e-02 -2.11036161e-01  6.68976381e-02  1.27771169e-01
  1.76489875e-01  6.24889955e-02  1.12967864e-01 -1.28370568e-01
  9.33153369e-03  7.18772877e-03 -2.46470943e-01  6.80541843e-02
  4.51048091e-02 -1.03614748e-01 -1.45908594e-01 -2.07404215e-02
  2.96987802e-01  1.40529439e-01 -9.91739184e-02 -7.04680681e-02
  2.02669650e-01 -9.16295052e-02 -2.84683220e-02  4.55718786e-02
 -1.01016589e-01 -1.47629440e-01 -1.99222103e-01  1.37932882e-01
  2.95205712e-01  1.05455190e-01 -1.96358442e-01  2.61295810e-02
 -1.00063771e-01 -5.90332188e-02  2.30144011e-03  1.62518653e-03
 -7.87182897e-02  1.02944911e-01 -1.14838399e-01  7.72608742e-02
  8.30560401e-02  1.99757405e-02 -1.83581114e-02  1.82892218e-01
 -1.02907762e-01  5.32636270e-02  5.79299890e-02  1.31966663e-04
 -5.97833171e-02 -2.23594066e-03 -1.41275108e-01 -3.54058146e-02
  1.68009907e-01 -1.38862804e-01 -4.34300713e-02  4.98778410e-02
 -1.59597352e-01  4.27651182e-02  3.51295271e-03 -6.86282963e-02
 -4.34749275e-02  1.45402923e-02 -1.49210900e-01 -5.04605733e-02
  1.66673541e-01 -2.22531602e-01  2.15740919e-01  1.57109991e-01
 -6.63700849e-02  1.45321280e-01  4.22115400e-02  5.79880625e-02
  6.37904881e-03 -1.20747261e-01 -1.47237957e-01 -9.55740809e-02
  5.68901859e-02  1.31253712e-02  2.76822485e-02  3.88620272e-02]"
8,aaditya,"[-0.13140203  0.11099656  0.09414496 -0.04480292  0.00848658 -0.10374293
 -0.00525307 -0.03670294  0.13951676 -0.05484155  0.25517917 -0.03431845
 -0.21338767 -0.15000181  0.07981902  0.12075626 -0.10855346 -0.15070644
 -0.04568379 -0.13722442  0.00359495  0.04701384  0.00275935  0.0593086
 -0.09097458 -0.38791746 -0.08779623 -0.1671336  -0.00903295 -0.10802563
 -0.03518189  0.05833168 -0.19257538 -0.08514888  0.00456799  0.13641347
  0.00737097 -0.02119727  0.17725497  0.08448324 -0.079408   -0.11488754
  0.04370006  0.29697791  0.13942136  0.02503848  0.00505251  0.07264963
  0.03665036 -0.20043604  0.06763998  0.12837444  0.18364002  0.05817124
  0.10825731 -0.13227774  0.00708453 -0.00418333 -0.25476307  0.05287886
  0.041616   -0.10817637 -0.1564512  -0.0322653   0.28571275  0.13483818
 -0.10698991 -0.07530387  0.20000738 -0.09763039 -0.03529407  0.04991314
 -0.11659903 -0.14528276 -0.19490007  0.13730279  0.28576666  0.10555842
 -0.20474924  0.0177302  -0.08724029 -0.05987805 -0.0062417   0.00594888
 -0.07060034  0.09602883 -0.11681885  0.07910341  0.08500679  0.00989691
 -0.01560143  0.17959234 -0.09773102  0.05887178  0.05935962  0.0075928
 -0.06463685 -0.00198273 -0.13824603 -0.03471433  0.15352546 -0.13930327
 -0.04190584  0.04692441 -0.160063    0.05227803  0.00704846 -0.06919175
 -0.04923857  0.01762897 -0.1538872  -0.06307402  0.16564031 -0.21456714
  0.20690757  0.1665384  -0.06273163  0.13997132  0.04377089  0.06050783
  0.00306854 -0.12099887 -0.15040669 -0.09905791  0.05063899  0.01477943
  0.02239632  0.0310481 ]"
9,aaditya,"[-0.14848848  0.09413064  0.08835933 -0.03678508  0.02114156 -0.10233837
 -0.02849128 -0.03369244  0.15005812 -0.06511831  0.23711695 -0.06055938
 -0.19788869 -0.15651757  0.05327122  0.12008327 -0.10986038 -0.13789968
 -0.05457813 -0.12034187  0.02908005  0.03141752  0.03646868  0.04390396
 -0.09455001 -0.40892681 -0.08072734 -0.17758901 -0.00795748 -0.10273822
 -0.034417    0.04579433 -0.21933064 -0.10501722 -0.02854969  0.1184209
  0.02430237 -0.01045145  0.18584767  0.06402641 -0.09876952 -0.12237075
  0.04309589  0.27283257  0.13300963  0.05076117 -0.00508507  0.08042058
  0.03646702 -0.23222397  0.06869714  0.12493601  0.17611197  0.04120564
  0.11077368 -0.09421995  0.01242072  0.01270388 -0.25156879  0.04866828
  0.042902   -0.06780175 -0.14785625 -0.02158763  0.2829074   0.1602045
 -0.090515   -0.06438234  0.18955229 -0.09475716 -0.02177137  0.03802134
 -0.10111107 -0.15417813 -0.21220908  0.11520948  0.2897799   0.10052057
 -0.18410324  0.01961776 -0.09717952 -0.05996083  0.00172713 -0.01761287
 -0.07701986  0.09692585 -0.09735455  0.07566192  0.0865905   0.00637735
 -0.01512818  0.16984145 -0.09027424  0.04771585  0.04100873  0.00824372
 -0.0627808   0.00720887 -0.14564712 -0.01174022  0.16140842 -0.09711711
 -0.03673511  0.04392077 -0.16222966  0.0380665  -0.00307276 -0.08538788
 -0.02908238  0.02536089 -0.15240911 -0.07093971  0.14585274 -0.19001107
  0.19141273  0.1676262  -0.06821553  0.14216116  0.05321046  0.05617483
  0.02006628 -0.08483486 -0.162498   -0.11092389  0.06782661  0.01939945
  0.01425258  0.0321614 ]"
